HLrhaLeu1	NCBI	GCA_013397725.1	Rhagologus leucostigma
HLrhaSib1	NCBI	GCA_013400275.1	Rhadina sibilatrix
HLrheAme1	NCBI	GCA_003343005.1	Rhea americana
HLrheHof1	NCBI	GCA_013398505.1	Rhegmatorhina hoffmannsi
HLrhiAfr1	NCBI	GCA_013400135.1	Rhinoptilus africanus
HLrhiCya1	NCBI	GCA_013400115.1	Rhinopomastus cyanomelas
HLrhiDah1	NCBI	GCA_013399225.1	Rhipidura dahli
HLrhoRos1	NCBI	GCA_013396575.1	Rhodinocichla rosea
HLrhyJub1	NCBI	GCA_013398095.1	Rhynochetos jubatus
HLripRip1	NCBI	GCA_020917445.1	Riparia riparia
HLrisTri1	NCBI	GCA_013401015.1	Rissa tridactyla
HLrosBen1	NCBI	GCA_013399305.1	Rostratula benghalensis
HLrynNig1	NCBI	GCA_013400035.1	Rynchops niger
HLsagSer1	NCBI	GCA_013399415.1	Sagittarius serpentarius
HLsakLuc1	NCBI	GCA_013396695.1	Sakesphorus luctuosus
HLsapAen1	NCBI	GCA_013398745.1	Sapayoa aenigma
HLsaxMau1	NCBI	GCA_900205225.1	Saxicola maurus maurus
HLsclMex1	NCBI	GCA_013396755.1	Sclerurus mexicanus
HLscySup1	NCBI	GCA_013400415.1	Scytalopus superciliaris
HLserCan1	NCBI	GCA_007115625.1	Serinus canaria
HLserLun1	NCBI	GCA_013399895.1	Serilophus lunatus
HLsetCor1	NCBI	GCA_001746935.1	Setophaga coronata coronata
HLsetCorCor2	NCBI	GCA_001746935.2	Setophaga coronata coronata
HLsetKir1	NCBI	GCA_013399655.1	Setophaga kirtlandii
HLsiaSia1	NCBI	GCA_009812075.1	Sialia sialis
HLsitEur1	NCBI	GCA_013400255.1	Sitta europaea
HLsmiCap1	NCBI	GCA_013396465.1	Smithornis capensis
HLspeFor1	NCBI	GCA_013398795.1	Spelaeornis formosus
HLsphDem1	NCBI	GCA_010077935.1	Spheniscus demersus
HLsphHum1	NCBI	GCA_010076325.1	Spheniscus humboldti
