#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeSydhTfbsImr90Mxi1IggrabRawDataRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mxi1IggrabRawDataRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mxi1IggrabSig	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabAlnRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabAlnRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabPk	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabRawDataRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabRawDataRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Pol2IggrabSig	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabAlnRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabAlnRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabPk	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabRawDataRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabRawDataRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rad21IggrabSig	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabAlnRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabAlnRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabPk	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabRawDataRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabRawDataRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Rfx5IggrabSig	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabAlnRep1	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabAlnRep2	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabPk	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabRawDataRep1	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabRawDataRep2	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Arid3asc8821IggrabSig	Stanford	2012-02-28	n/a	2012-11-28	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdAlnRep1	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdAlnRep2	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdPk	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdRawDataRep1	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdRawDataRep2	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf106325StdSig	Harvard	2012-03-13	n/a	2012-12-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3RawDataRep1	Harvard	2010-01-09	n/a	2010-10-09	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3RawDataRep2	Harvard	2010-01-09	n/a	2010-10-09	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3StdAlnRep1	Harvard	2010-01-09	2010-06-11	2010-10-09	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3StdAlnRep2	Harvard	2010-01-09	2010-06-11	2010-10-09	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3StdPk	Harvard	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Atf3StdSig	Harvard	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabAlnRep1	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabAlnRep2	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabPk	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabRawDataRep1	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabRawDataRep2	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bach1sc14700IggrabSig	Stanford	2012-02-27	n/a	2012-11-27	wgEncodeSydhTfbs
