GCA_042028845.1_HG03927_pat_hprc_f2	human (HG03927 pat 2024)
GCA_042036275.1_HG03942_mat_hprc_f2	human (HG03942 mat 2024)
GCA_042036505.1_HG03942_pat_hprc_f2	human (HG03942 pat 2024)
GCA_042028945.1_HG04115_mat_hprc_f2	human (HG04115 mat 2024)
GCA_042029955.1_HG04115_pat_hprc_f2	human (HG04115 pat 2024)
GCA_042036305.1_HG04157_mat_hprc_f2	human (HG04157 mat 2024)
GCA_042036535.1_HG04157_pat_hprc_f2	human (HG04157 pat 2024)
GCA_042036395.1_HG04160_mat_hprc_f2	human (HG04160 mat 2024)
GCA_042036805.1_HG04160_pat_hprc_f2	human (HG04160 pat 2024)
GCA_042027765.1_HG04184_mat_hprc_f2	human (HG04184 mat 2024)
GCA_042028635.1_HG04184_pat_hprc_f2	human (HG04184 pat 2024)
GCA_045999925.1_HG04187_mat_hprc_f2	human (HG04187 mat 2024)
GCA_046000115.1_HG04187_pat_hprc_f2	human (HG04187 pat 2024)
GCA_042029385.1_HG04199_mat_hprc_f2	human (HG04199 mat 2024)
GCA_042030015.1_HG04199_pat_hprc_f2	human (HG04199 pat 2024)
GCA_042036425.1_HG04204_mat_hprc_f2	human (HG04204 mat 2024)
GCA_042036795.1_HG04204_pat_hprc_f2	human (HG04204 pat 2024)
GCA_042036915.1_HG04228_mat_hprc_f2	human (HG04228 mat 2024)
GCA_042036925.1_HG04228_pat_hprc_f2	human (HG04228 pat 2024)
GCA_046332005.1_PAN027_mat_v1.0	human (HG06807 mat 2024)
GCA_046332035.1_PAN027_pat_v1.0	human (HG06807 pat 2024)
GCA_042077605.1_NA18505_hap1_hprc_f2	human (NA18505 hap1 2024)
GCA_042077345.1_NA18505_hap2_hprc_f2	human (NA18505 hap2 2024)
GCA_042077095.1_NA18508_hap1_hprc_f2	human (NA18508 hap1 2024)
GCA_042077155.1_NA18508_hap2_hprc_f2	human (NA18508 hap2 2024)
GCA_042031325.1_NA18522_hap1_hprc_f2	human (NA18522 hap1 2024)
GCA_042030975.1_NA18522_hap2_hprc_f2	human (NA18522 hap2 2024)
GCA_044166395.1_NA18565_hap1_hprc_f2	human (NA18565 hap1 2024)
GCA_044165725.1_NA18565_hap2_hprc_f2	human (NA18565 hap2 2024)
GCA_042034345.1_NA18570_hap1_hprc_f2	human (NA18570 hap1 2024)
GCA_042034465.1_NA18570_hap2_hprc_f2	human (NA18570 hap2 2024)
GCA_042077625.1_NA18608_hap1_hprc_f2	human (NA18608 hap1 2024)
