accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX8001116	Ldorsi	NA	Ldorsi	Ldorsi	SRP254023	SRS5921915	0.996	0.701	8.872	0.864	0.853	0.929	1441.77	42826	30288.23	2731
SRX8001117	Ldorsi	NA	Ldorsi	Ldorsi	SRP254023	SRS5921916	0.995	0.683	13.310	0.841	0.774	0.982	1231.25	51598	33098.07	3198
SRX8001118	Liver	NA	Liver	Liver	SRP254023	SRS5921917	0.995	0.676	12.752	0.815	0.771	0.971	1396.37	42275	28161.43	3500
SRX8001119	Lung	NA	Lung	Lung	SRP254023	SRS5921918	0.996	0.718	11.147	0.844	0.768	0.947	1317.2	35603	16827.46	2573
SRX8001120	Lung	NA	Lung	Lung	SRP254023	SRS5921919	0.997	0.680	10.308	0.826	0.845	0.977	1232.15	37751	18197.8	2539
SRX8001121	Ovary	NA	Ovary	Ovary	SRP254023	SRS5921920	0.991	0.586	21.369	0.670	0.575	0.989	1409.16	51472	330535.14	2088
SRX8001122	Rumen	NA	Rumen	Rumen	SRP254023	SRS5921921	0.997	0.548	8.499	0.715	0.676	0.977	1430.17	37324	58361.14	1522
SRX8001123	Rumen	NA	Rumen	Rumen	SRP254023	SRS5921922	0.996	0.640	10.804	0.694	0.773	0.980	1326.17	40680	23493.14	2677
SRX8001124	Spleen	NA	Spleen	Spleen	SRP254023	SRS5921923	0.990	0.659	21.127	0.647	0.633	0.988	1129.62	42961	13798.7	1977
SRX8001125	Uterus	NA	Uterus	Uterus	SRP254023	SRS5921924	0.994	0.689	9.643	0.779	0.695	0.975	1216.99	54199	18419.3	2720
SRX8001126	Placenta	NA	Placenta	Placenta	SRP254023	SRS5921925	0.998	0.483	8.168	0.863	0.744	0.882	25314.09	12984	895242.29	1209
SRX878211	Placenta	NA	NA	placenta	SRP049936	SRS846116	0.987	0.314	1.695	0.718	0.841	0.721	0.0	0	2483614.35	346
SRX878212	Placenta	NA	NA	placenta	SRP049936	SRS846114	0.987	0.329	1.805	0.720	0.833	0.740	0.0	0	3186465.26	219
SRX878213	Placenta	NA	NA	placenta	SRP049936	SRS846115	0.988	0.315	2.198	0.737	0.771	0.791	0.0	0	2822762.86	231
SRX9391216	Rumen	NA	rumen	NA	SRP289575	SRS7611469	0.979	0.668	19.074	0.686	0.607	0.987	1196.86	68493	26550.93	1710
SRX9391231	Rumen	NA	rumen	NA	SRP289575	SRS7611484	0.979	0.677	24.927	0.775	0.643	0.989	1087.11	84654	15349.25	2747
