#file	format	output	meta	ucsc_db	paired_end
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995927-SRR1974609-/SRR1974609_1.fastq.gz	fastq	reads	GSM1657937	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995927-SRR1974609-/SRR1974609_2.fastq.gz	fastq	reads	GSM1657937	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995928-SRR1974610-/SRR1974610_1.fastq.gz	fastq	reads	GSM1657938	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995928-SRR1974610-/SRR1974610_2.fastq.gz	fastq	reads	GSM1657938	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995929-SRR1974611-/SRR1974611_1.fastq.gz	fastq	reads	GSM1657939	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995929-SRR1974611-/SRR1974611_2.fastq.gz	fastq	reads	GSM1657939	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995930-SRR1974612-/SRR1974612_1.fastq.gz	fastq	reads	GSM1657940	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995930-SRR1974612-/SRR1974612_2.fastq.gz	fastq	reads	GSM1657940	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995931-SRR1974613-/SRR1974613_1.fastq.gz	fastq	reads	GSM1657941	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995931-SRR1974613-/SRR1974613_2.fastq.gz	fastq	reads	GSM1657941	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995932-SRR1974614-/SRR1974614_1.fastq.gz	fastq	reads	GSM1657942	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995932-SRR1974614-/SRR1974614_2.fastq.gz	fastq	reads	GSM1657942	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995933-SRR1974615-/SRR1974615_1.fastq.gz	fastq	reads	GSM1657943	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995933-SRR1974615-/SRR1974615_2.fastq.gz	fastq	reads	GSM1657943	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995934-SRR1974616-/SRR1974616_1.fastq.gz	fastq	reads	GSM1657944	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995934-SRR1974616-/SRR1974616_2.fastq.gz	fastq	reads	GSM1657944	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995935-SRR1974617-/SRR1974617_1.fastq.gz	fastq	reads	GSM1657945	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995935-SRR1974617-/SRR1974617_2.fastq.gz	fastq	reads	GSM1657945	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995936-SRR1974618-/SRR1974618_1.fastq.gz	fastq	reads	GSM1657946	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995936-SRR1974618-/SRR1974618_2.fastq.gz	fastq	reads	GSM1657946	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995937-SRR1974619-/SRR1974619_1.fastq.gz	fastq	reads	GSM1657947	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995937-SRR1974619-/SRR1974619_2.fastq.gz	fastq	reads	GSM1657947	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995938-SRR1974620-/SRR1974620_1.fastq.gz	fastq	reads	GSM1657948	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995938-SRR1974620-/SRR1974620_2.fastq.gz	fastq	reads	GSM1657948	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995939-SRR1974621-/SRR1974621_1.fastq.gz	fastq	reads	GSM1657949	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995939-SRR1974621-/SRR1974621_2.fastq.gz	fastq	reads	GSM1657949	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995940-SRR1974622-/SRR1974622_1.fastq.gz	fastq	reads	GSM1657950	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995940-SRR1974622-/SRR1974622_2.fastq.gz	fastq	reads	GSM1657950	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995941-SRR1974623-/SRR1974623_1.fastq.gz	fastq	reads	GSM1657951	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995941-SRR1974623-/SRR1974623_2.fastq.gz	fastq	reads	GSM1657951	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995942-SRR1974624-/SRR1974624_1.fastq.gz	fastq	reads	GSM1657952	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995942-SRR1974624-/SRR1974624_2.fastq.gz	fastq	reads	GSM1657952	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995943-SRR1974625-/SRR1974625_1.fastq.gz	fastq	reads	GSM1657953	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995943-SRR1974625-/SRR1974625_2.fastq.gz	fastq	reads	GSM1657953	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995944-SRR1974626-/SRR1974626_1.fastq.gz	fastq	reads	GSM1657954	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995944-SRR1974626-/SRR1974626_2.fastq.gz	fastq	reads	GSM1657954	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995945-SRR1974627-/SRR1974627_1.fastq.gz	fastq	reads	GSM1657955	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995945-SRR1974627-/SRR1974627_2.fastq.gz	fastq	reads	GSM1657955	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995946-SRR1974628-/SRR1974628_1.fastq.gz	fastq	reads	GSM1657956	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995946-SRR1974628-/SRR1974628_2.fastq.gz	fastq	reads	GSM1657956	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995947-SRR1974629-/SRR1974629_1.fastq.gz	fastq	reads	GSM1657957	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995947-SRR1974629-/SRR1974629_2.fastq.gz	fastq	reads	GSM1657957	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995948-SRR1974630-/SRR1974630_1.fastq.gz	fastq	reads	GSM1657958	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995948-SRR1974630-/SRR1974630_2.fastq.gz	fastq	reads	GSM1657958	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995949-SRR1974631-/SRR1974631_1.fastq.gz	fastq	reads	GSM1657959	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995949-SRR1974631-/SRR1974631_2.fastq.gz	fastq	reads	GSM1657959	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995950-SRR1974632-/SRR1974632_1.fastq.gz	fastq	reads	GSM1657960	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995950-SRR1974632-/SRR1974632_2.fastq.gz	fastq	reads	GSM1657960	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995951-SRR1974633-/SRR1974633_1.fastq.gz	fastq	reads	GSM1657961	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995951-SRR1974633-/SRR1974633_2.fastq.gz	fastq	reads	GSM1657961	hg38	2
