oreNil	8128	Oreochromis niloticus	2012-11-14 10:16:20	vertebrates_other/Oreochromis_niloticus/Orenil1.1/ASSEMBLY_INFO
oryAfe	1230840	Orycteropus afer afer	2012-11-14 10:16:18	vertebrates_mammals/Orycteropus_afer/OryAfe1.0/ASSEMBLY_INFO
oryCun	9986	Oryctolagus cuniculus	2012-11-14 10:16:18	vertebrates_mammals/Oryctolagus_cuniculus/OryCun2.0/ASSEMBLY_INFO
oryLat	8090	Oryzias latipes	2012-11-27 16:30:43	vertebrates_other/Oryzias_latipes/ASM15182v1/ASSEMBLY_INFO
oryLat	8090	Oryzias latipes	2012-11-27 16:30:46	vertebrates_other/Oryzias_latipes/ASM31367v1/ASSEMBLY_INFO
otoGar	30611	Otolemur garnettii	2012-11-14 10:16:18	vertebrates_mammals/Otolemur_garnettii/OtoGar2/ASSEMBLY_INFO
otoGar	30611	Otolemur garnettii	2012-11-14 10:16:18	vertebrates_mammals/Otolemur_garnettii/OtoGar3/ASSEMBLY_INFO
oviAri	9940	Ovis aries	2012-11-14 10:16:18	vertebrates_mammals/Ovis_aries/Oar_v3.1/ASSEMBLY_INFO
oviAri	9940	Ovis aries	2012-11-14 10:16:19	vertebrates_mammals/Ovis_aries/Ovis_aries_1.0/ASSEMBLY_INFO
panHod	59538	Pantholops hodgsonii	2013-06-08 13:19:06	vertebrates_mammals/Pantholops_hodgsonii/PHO1.0/ASSEMBLY_INFO
panPan	9597	Pan paniscus	2012-11-14 10:16:19	vertebrates_mammals/Pan_paniscus/panpan1/ASSEMBLY_INFO
panTig	74533	Panthera tigris altaica	2013-09-09 10:23:05	vertebrates_mammals/Panthera_tigris/PanTig1.0/ASSEMBLY_INFO
panTro	9598	Pan troglodytes	2012-11-14 10:16:19	vertebrates_mammals/Pan_troglodytes/Pan_troglodytes-2.1.3/ASSEMBLY_INFO
panTro	9598	Pan troglodytes	2012-11-14 10:16:19	vertebrates_mammals/Pan_troglodytes/Pan_troglodytes-2.1.4/ASSEMBLY_INFO
papAnu	9555	Papio anubis	2012-11-14 10:16:19	vertebrates_mammals/Papio_anubis/Panu_2.0/ASSEMBLY_INFO
pelCri	36300	Pelecanus crispus	2014-06-04 10:23:03	vertebrates_other/Pelecanus_crispus/ASM68737v1/ASSEMBLY_INFO
pelSin	13735	Pelodiscus sinensis	2012-11-14 10:16:20	vertebrates_other/Pelodiscus_sinensis/PelSin_1.0/ASSEMBLY_INFO
perMan	230844	Peromyscus maniculatus bairdii	2013-12-06 10:23:20	vertebrates_mammals/Peromyscus_maniculatus/Pman_1.0/ASSEMBLY_INFO
petMar	7757	Petromyzon marinus	2012-11-14 10:16:20	vertebrates_other/Petromyzon_marinus/Petromyzon_marinus-7.0/ASSEMBLY_INFO
phaLep	97097	Phaethon lepturus	2014-06-04 10:23:03	vertebrates_other/Phaethon_lepturus/ASM68728v1/ASSEMBLY_INFO
phoRub	9218	Phoenicopterus ruber ruber	2014-06-04 10:23:03	vertebrates_other/Phoenicopterus_ruber/ASM68726v1/ASSEMBLY_INFO
phyCat	9755	Physeter catodon	2013-10-04 10:23:06	vertebrates_mammals/Physeter_catodon/Physeter_macrocephalus-2.0.2/ASSEMBLY_INFO
picPub	118200	Picoides pubescens	2014-06-09 10:23:03	vertebrates_other/Picoides_pubescens/ASM69900v1/ASSEMBLY_INFO
poeFor	48698	Poecilia formosa	2013-10-31 10:23:03	vertebrates_other/Poecilia_formosa/Poecilia_formosa-5.1.2/ASSEMBLY_INFO
poeRet	8081	Poecilia reticulata	2014-04-25 10:23:11	vertebrates_other/Poecilia_reticulata/Guppy_female_1.0/ASSEMBLY_INFO
poeRet	8081	Poecilia reticulata	2014-05-08 10:23:04	vertebrates_other/Poecilia_reticulata/Guppy_female_1.0_MT/ASSEMBLY_INFO
pseHum	181119	Pseudopodoces humilis	2013-02-21 23:30:07	vertebrates_other/Pseudopodoces_humilis/PseHum1.0/ASSEMBLY_INFO
pteAle	9402	Pteropus alecto	2013-01-03 06:25:13	vertebrates_mammals/Pteropus_alecto/ASM32557v1/ASSEMBLY_INFO
pteGut	240206	Pterocles gutturalis	2014-06-10 10:23:04	vertebrates_other/Pterocles_gutturalis/ASM69924v1/ASSEMBLY_INFO
ptePar	59476	Pteronotus parnellii	2013-09-20 10:23:07	vertebrates_mammals/Pteronotus_parnellii/ASM46540v1/ASSEMBLY_INFO
punNye	303518	Pundamilia nyererei	2012-11-14 10:16:20	vertebrates_other/Pundamilia_nyererei/PunNye1.0/ASSEMBLY_INFO
pygAde	9238	Pygoscelis adeliae	2014-06-09 10:23:03	vertebrates_other/Pygoscelis_adeliae/ASM69910v1/ASSEMBLY_INFO
pytBiv	176946	Python bivittatus	2013-09-19 10:23:06	vertebrates_other/Python_bivittatus/Python_molurus_bivittatus-5.0.2/ASSEMBLY_INFO
ratNor	10116	Rattus norvegicus	2012-11-14 10:16:19	vertebrates_mammals/Rattus_norvegicus/Rnor_5.0/ASSEMBLY_INFO
rhiFer	59479	Rhinolophus ferrumequinum	2013-09-19 10:23:10	vertebrates_mammals/Rhinolophus_ferrumequinum/ASM46549v1/ASSEMBLY_INFO
